Vacation_Search,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
378,Sarankhola,BD,79.83,overcast clouds,22.31,89.79,ইসা ষ্টোর
379,Methoni,GR,82.99,few clouds,36.82,21.7,Methoni Beach Hotel
380,Sola,VU,78.48,broken clouds,-13.88,167.55,Leumerus Bungalows
382,Altar,MX,86.22,clear sky,30.7,-111.82,Hotel Maria Elena
390,San Ignacio,BZ,80.01,broken clouds,17.16,-89.07,Rainforest Haven Inn
398,Sagay,PH,82.35,light rain,10.94,123.42,Bandolon's Boarding House
403,Tiznit,MA,76.98,clear sky,29.58,-9.5,
405,Ailigandi,PA,83.59,broken clouds,9.23,-78.02,akwa reef lodge
409,Satana,IN,75.11,overcast clouds,20.58,74.2,Sagar andsing pawar
411,Luanda,AO,78.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
412,El Tigre,VE,85.69,few clouds,8.89,-64.25,Hotel Santa Cruz
421,Kisangani,CD,87.8,scattered clouds,0.52,25.2,Grand Ramela Hotel
422,Pedernales,DO,78.8,moderate rain,18.04,-71.74,Hotel Costa Marina
424,Belen,TR,86.0,clear sky,36.49,36.22,Varlıbaş Uyku Sarayı
427,Faya,SA,77.0,scattered clouds,18.39,42.45,مقبرة ال مجمل
431,Raichur,IN,78.94,overcast clouds,16.2,77.37,Hotel CM Residency
434,Kloulklubed,PW,78.8,broken clouds,7.04,134.26,Storyboard Beach Resort
436,Bodden Town,KY,82.0,broken clouds,19.28,-81.25,Will T Place
439,Alyangula,AU,77.0,clear sky,-13.85,136.42,Groote Eylandt Lodge
440,Tezu,IN,76.6,light rain,27.92,96.17,Circuit House
445,Careiro Da Varzea,BR,78.8,light rain,-3.2,-59.81,POUSADA DA ALDENORA
446,Japura,ID,75.47,broken clouds,-0.32,102.35,Rumah mbah Jamah
447,Kindu,CD,80.51,light rain,-2.95,25.95,Hotel Karibu
454,Caborca,MX,82.99,clear sky,30.58,-111.1,Hotel Los Lagos
460,Dingle,PH,77.58,overcast clouds,11.0,122.67,Camp Pasica
461,Sovkhoznyy,RU,78.01,overcast clouds,45.29,38.11,Гостиный дворик
