WeatherPy_Database.csv,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Santa Vitoria Do Palmar,BR,2020-10-04 03:34:46,-33.52,-53.37,52.0,73,83,11.05
121,Engerwitzdorf,AT,2020-10-04 03:34:46,48.35,14.44,48.99,91,96,5.41
122,Batagay,RU,2020-10-04 03:34:46,67.63,134.63,37.22,68,93,11.95
123,Bahir Dar,ET,2020-10-04 03:34:46,11.59,37.39,58.82,88,18,4.59
124,Atuona,PF,2020-10-04 03:31:43,-9.8,-139.03,78.33,75,0,21.14
125,Puerto Carreno,CO,2020-10-04 03:34:46,6.19,-67.49,77.32,89,28,4.94
126,Bosobolo,CD,2020-10-04 03:34:47,4.18,19.9,70.14,86,94,1.28
127,Bluff,NZ,2020-10-04 03:31:46,-46.6,168.33,48.99,96,100,3.0
128,Nemuro,JP,2020-10-04 03:31:59,43.32,145.57,68.0,72,75,4.7
129,Poso,ID,2020-10-04 03:34:47,-1.4,120.75,87.91,58,89,7.38
130,Launceston,AU,2020-10-04 03:30:56,-41.45,147.17,64.0,82,90,4.7
131,Batagay-Alyta,RU,2020-10-04 03:31:51,67.8,130.41,30.54,81,100,5.41
132,Torbay,CA,2020-10-04 03:32:00,47.67,-52.73,55.99,93,90,13.87
133,Talara,PE,2020-10-04 03:34:47,-4.58,-81.27,64.83,84,98,17.49
134,Inirida,CO,2020-10-04 03:34:47,3.87,-67.92,73.56,95,40,2.53
135,Saldanha,ZA,2020-10-04 03:31:51,-33.01,17.94,51.8,81,0,2.24
136,Chokurdakh,RU,2020-10-04 03:31:47,70.63,147.92,33.78,85,86,13.62
137,Pindiga,NG,2020-10-04 03:34:47,9.98,10.93,70.03,91,36,2.37
138,Aquiraz,BR,2020-10-04 03:34:47,-3.9,-38.39,78.8,78,40,13.87
139,Karaton,ID,2020-10-04 03:34:47,-6.34,106.1,95.0,58,20,5.82
140,Dhidhdhoo,MV,2020-10-04 03:31:38,6.88,73.1,81.64,73,100,12.48
141,Show Low,US,2020-10-04 03:34:47,34.25,-110.03,60.8,6,1,3.36
142,Alofi,NU,2020-10-04 03:32:06,-19.06,-169.92,77.0,94,100,13.87
143,Bukama,CD,2020-10-04 03:34:48,-9.2,25.85,72.01,71,0,1.54
144,Port Macquarie,AU,2020-10-04 03:31:59,-31.43,152.92,82.4,39,0,14.99
145,Victoria,HK,2020-10-04 03:30:03,22.29,114.16,87.01,71,19,1.01
146,Maceio,BR,2020-10-04 03:29:17,-9.67,-35.74,73.4,88,75,5.82
147,San Jose,US,2020-10-04 03:32:12,37.34,-121.89,77.0,49,75,4.7
148,Chuy,UY,2020-10-04 03:31:40,-33.7,-53.46,51.53,75,77,10.51
149,Manta,EC,2020-10-04 03:30:14,-0.95,-80.73,71.6,88,75,5.82
150,Wladyslawowo,PL,2020-10-04 03:34:48,54.79,18.4,62.01,93,1,12.75
151,Bonthe,SL,2020-10-04 03:32:06,7.53,-12.51,76.78,86,100,5.99
152,Coromandel,BR,2020-10-04 03:34:48,-18.47,-47.2,74.44,24,0,6.38
153,Bethel,US,2020-10-04 03:31:41,41.37,-73.41,46.99,94,0,4.0
154,Correntina,BR,2020-10-04 03:34:48,-13.34,-44.64,69.22,31,0,3.85
155,Vancouver,CA,2020-10-04 03:32:37,49.25,-123.12,59.0,93,20,9.17
156,Pangnirtung,CA,2020-10-04 03:32:15,66.15,-65.71,25.97,93,84,0.81
157,Gornopravdinsk,RU,2020-10-04 03:34:48,60.05,69.9,32.43,93,85,10.71
158,Bandarbeyla,SO,2020-10-04 03:32:20,9.49,50.81,79.83,78,42,14.12
159,Codrington,AU,2020-10-04 03:32:07,-38.27,141.97,57.85,90,100,12.86
160,Aripuana,BR,2020-10-04 03:34:49,-9.17,-60.63,74.88,83,34,0.6
161,Clearwater,US,2020-10-04 03:34:49,27.97,-82.8,73.99,94,75,9.17
162,Zaykovo,RU,2020-10-04 03:34:49,57.56,62.76,35.28,83,0,8.93
163,Manga,BF,2020-10-04 03:34:49,11.66,-1.07,74.86,86,100,4.0
164,Longyearbyen,SJ,2020-10-04 03:31:57,78.22,15.64,35.6,93,75,0.69
165,Moerai,PF,2020-10-04 03:34:49,-22.43,-151.33,76.23,74,73,4.34
166,Touros,BR,2020-10-04 03:32:10,-5.2,-35.46,73.4,100,75,3.36
167,Ahuimanu,US,2020-10-04 03:31:47,21.44,-157.84,82.4,65,20,6.93
168,Ngunguru,NZ,2020-10-04 03:34:50,-35.62,174.5,61.88,54,0,6.11
169,Port Hardy,CA,2020-10-04 03:31:44,50.7,-127.42,57.2,93,90,4.54
170,Hasaki,JP,2020-10-04 03:31:49,35.73,140.83,80.01,64,75,2.24
171,Keningau,MY,2020-10-04 03:34:50,5.34,116.16,78.8,94,40,4.7
172,Youghal,IE,2020-10-04 03:34:50,51.95,-7.85,46.0,93,20,12.75
173,Kununurra,AU,2020-10-04 03:31:46,-15.77,128.73,95.0,41,33,6.93
